TA_CODE;yeni_ulke;NEW_TA_CODE;sacma_ta_code
ge80128949;BY;by00709483;us00000323
ge80000987;BZ;bz80031929;us00000324
ge80007578;BZ;bz80031931;us00000325
ge80000718;BZ;bz80031928;us00000326
ge80001291;BZ;bz80031930;us00000327
ge80003119;BZ;bz80031932;us00000328
ge80134035;BZ;bz00705969;us00000329
ge80000579;BZ;bz80031927;us00000330
ge80000205;BZ;bz80031926;us00000331
ge80033019;BZ;bz00706041;us00000332
ge80090310;CA;ca80243112;us00000333
ge80091295;CA;ca80138032;us00000334
ge80090455;CA;ca80988597;us00000335
ge80108691;CA;ca80988599;us00000336
ge80090385;CA;ca80461903;us00000337
ge80069907;CA;ca80128708;us00000338
ge80090252;CA;ca80988593;us00000339
ge80012288;CA;ca80142900;us00000340
ge80091046;CA;ca80493125;us00000341
ge80068829;CA;ca80783931;us00000342
ge80068834;CA;ca80988611;us00000343
ge80137128;CA;ca80988604;us00000344
ge80103680;CA;ca80988601;us00000345
ge80091047;CA;ca80493143;us00000346
ge80002170;AZ;az80086748;us00000347
ge80087705;CA;ca80988613;us00000348
ge80114265;CA;ca80988592;us00000349
ge80068832;CA;ca80988609;us00000350
ge80077472;CA;ca80988602;us00000351
ge80117670;CA;ca80389322;us00000352
ge80115039;CA;ca80988596;us00000353
ge80068787;CA;ca80020728;us00000354
ge80091447;CA;ca80988614;us00000355
ge80082580;CA;ca80988606;us00000356
ge80068793;CA;ca80030576;us00000357
ge80068804;CA;ca80988598;us00000358
ge80084976;CA;ca80988607;us00000359
ge80069591;CA;ca80123047;us00000360
ge80068830;CA;ca80988608;us00000361
ge80071611;CA;ca80783936;us00000362
ge80068835;CA;ca80988610;us00000363
ge80051267;CA;ca80173830;us00000364
ge80054532;CA;ca80988600;us00000365
ge80128829;CA;ca80059708;us00000366
ge80068562;CA;ca80988603;us00000367
ge80084022;CA;ca80403824;us00000368
ge80090368;CA;ca80528871;us00000369
ge80053063;CA;ca80199856;us00000370
ge80032156;CA;ca80988612;us00000371
ge80117199;CA;ca80988605;us00000372
ge80022194;CA;ca80000464;us00000373
ge80014198;CA;ca80136094;us00000374
ge80014372;CA;ca80021959;us00000375
ge80014374;CA;ca80988594;us00000376
ge80048226;CA;ca80988595;us00000377
ge80069631;CA;ca80988591;us00000378
ge80010866;CH;ch80021474;us00000379
ge80000394;CH;ch80168922;us00000380
ge80024714;CH;ch80168920;us00000381
ge80006749;CH;ch80015036;us00000382
ge80002952;CH;ch80016401;us00000383
ge80001038;CH;ch80004554;us00000384
ge80093644;CH;ch80168923;us00000385
ge80132954;CH;ch80061609;us00000386
ge80000105;CH;ch80000439;us00000387
ge80002208;CH;ch80168935;us00000388
ge80128763;CH;ch80163175;us00000389
ge80002933;CH;ch80010330;us00000390
ge80006721;CH;ch80168940;us00000391
ge80002377;CH;ch80021847;us00000392
ge80132215;CH;ch80006525;us00000393
ge80132991;CH;ch80106796;us00000394
ge80131941;CH;ch80117498;us00000395
ge80131942;CH;ch80168927;us00000396
ge80131943;CH;ch80168928;us00000397
ge80032149;CH;ch80022584;us00000398
ge80002211;CH;ch80007240;us00000399
ge80003049;CH;ch80011343;us00000400
ge80001241;CH;ch80168932;us00000401
ge80002128;CH;ch80168934;us00000402
ge80122716;CH;ch80006596;us00000403
ge80000989;CH;ch80168926;us00000404
ge80001652;CH;ch80006614;us00000405
ge80018452;CH;ch80001756;us00000406
ge80077366;CH;ch80168933;us00000407
ge80131804;CH;ch80003662;us00000408
ge80131449;CH;ch80027355;us00000409
ge80003048;CH;ch80168937;us00000410
ge80093962;CH;ch80168930;us00000411
ge80079316;CH;ch80168939;us00000412
ge80130776;CH;ch80161814;us00000413
ge80000042;CH;ch80000205;us00000414
ge80002359;CH;ch80168936;us00000415
ge80089893;CH;ch80130558;us00000416
ge80000029;AZ;az80086551;us00000417
ge80000680;CH;ch80003620;us00000418
ge80001210;CH;ch80005350;us00000419
ge80111069;CH;ch80168925;us00000420
ge80050838;CH;ch80025365;us00000421
ge80132992;CH;ch80106797;us00000422
ge80131448;CH;ch80046971;us00000423
ge80029459;CH;ch80168924;us00000424
ge80131540;CH;ch80079823;us00000425
ge80119674;CH;ch80168931;us00000426
ge80054850;CH;ch80168917;us00000427
ge80087699;CH;ch80168938;us00000428
ge80062807;CH;ch80019997;us00000429
ge80071420;CH;ch80168929;us00000430
ge80107761;CH;ch80168918;us00000431
ge80000128;CH;ch80168919;us00000432
ge80126703;CH;ch80001176;us00000433
ge80000332;CH;ch80168921;us00000434
ge80125226;CI;ci80101039;us00000435
ge80081308;CL;cl80026600;us00000436
ge80091382;CL;cl00040576;us00000437
ge80126518;CL;cl80238158;us00000438
ge80126717;CN;cn81047580;us00000439
ge80112342;CN;cn81442718;us00000440
ge80130865;CN;cn81442717;us00000441
ge80123360;CN;cn81266443;us00000442
ge80123359;CN;cn81266440;us00000443
ge80090498;CN;cn81442722;us00000444
ge80002171;AZ;az80086749;us00000445
ge80123481;CN;cn81442719;us00000446
ge80090081;CN;cn80879297;us00000447
ge80081810;CN;cn81442714;us00000448
ge80111519;CN;cn81442716;us00000449
ge80127764;CN;cn81023652;us00000450
ge80130085;CN;cn81442715;us00000451
ge80131219;CN;cn81442721;us00000452
ge80035520;CN;cn81442713;us00000453
ge80131096;CN;cn81442720;us00000454
ge80112845;CN;cn80726653;us00000455
ge80114128;CN;cn81118158;us00000456
ge80011371;AZ;az00719699;us00000457
ge80129343;CN;cn81442711;us00000458
ge80129546;CN;cn81442712;us00000459
ge80108170;ES;es80516239;us00000460
ge80110373;ES;es80001512;us00000461
ge80110461;ES;es80385453;us00000462
ge80126563;ES;es80258902;us00000463
ge80114417;ES;es80516235;us00000464
ge80126727;ES;es80409769;us00000465
ge80110744;ES;es80167092;us00000466
ge80072616;ES;es80516238;us00000467
ge80126449;ET;et80031426;us00000468
ge80131780;FI;fi80175083;us00000469
ge80106152;FI;fi90024440;us00000470
ge80090644;FI;fi80012106;us00000471
ge80122079;FR;fr80250244;us00000472
ge80073019;FR;fr80567882;us00000473
ge80069831;FR;fr80071934;us00000474
ge80000073;FR;fr80000656;us00000475
ge80131270;FR;fr80280916;us00000476
ge80090205;FR;fr80567880;us00000477
ge80036912;FR;fr80567881;us00000478
ge80114821;FR;fr80115215;us00000479
ge80087700;GR;gr90049172;us00000480
ge80070087;GR;gr90049169;us00000481
ge80070690;GR;gr80398772;us00000482
ge80114024;GR;gr90039593;us00000483
ge80031438;GR;gr90049170;us00000484
ge80069678;GR;gr80001348;us00000485
ge80125691;GR;gr80021429;us00000486
ge80014917;GR;gr90049171;us00000487
ge80070695;GR;gr80076580;us00000488
ge80107340;GR;gr80089103;us00000489
ge80125314;GR;gr90033031;us00000490
ge80000013;GR;gr90049167;us00000491
ge80012754;GR;gr90049168;us00000492
ge80012755;GR;gr80000315;us00000493
ge80086969;GT;gt80087020;us00000494
